,instr,class,nb.repeat,attendance,difficulty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28
1188,2,6,1,3,4,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1189,2,6,1,3,3,2,3,2,2,3,3,2,2,3,3,4,2,4,4,4,3,4,4,4,4,4,4,4,3,3,4,3,4
1190,2,6,1,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1192,2,6,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4
1196,2,6,1,1,3,3,4,3,3,3,4,3,3,3,4,4,3,3,4,3,3,4,4,4,4,4,4,3,4,4,4,3,4
1200,2,6,1,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1201,2,6,1,1,3,3,4,4,4,4,4,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1202,2,6,1,2,3,4,3,2,3,1,2,2,2,2,2,2,2,4,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2
1204,2,6,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1205,2,6,1,3,3,1,1,1,2,2,3,3,3,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1
1206,2,6,1,3,3,3,4,2,3,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
1208,2,6,1,2,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1210,2,6,1,2,2,4,4,4,4,3,4,3,3,5,4,1,1,3,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4
1213,2,6,1,3,3,2,2,2,2,2,3,3,3,2,3,3,3,3,2,2,2,2,2,2,3,3,3,3,2,3,3,3,3
1215,2,6,1,2,3,4,4,4,4,4,5,4,4,5,4,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5
1216,2,6,1,4,2,4,4,3,3,3,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1218,2,6,1,1,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1219,2,6,1,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3
1228,2,6,1,2,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1233,2,6,1,2,4,4,4,4,4,4,4,5,5,5,5,5,5,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5
1238,2,6,1,1,3,3,3,3,3,3,3,3,3,3,4,4,4,3,2,3,3,3,2,3,4,4,4,3,4,4,1,5,5
1241,2,6,1,1,3,4,4,4,3,4,5,4,2,2,2,2,2,4,3,2,4,2,3,3,3,2,4,3,3,3,3,2,4
1244,2,6,1,2,3,4,4,4,4,1,4,4,1,1,2,2,1,4,3,4,4,5,5,4,4,4,4,4,4,4,4,1,5
1249,2,6,1,4,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1256,2,6,3,1,2,2,3,2,2,4,2,2,2,3,2,2,4,2,2,2,2,2,2,2,2,3,2,3,2,2,3,2,2
1257,2,6,1,3,4,2,3,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1259,2,6,1,3,2,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4
1268,2,6,1,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5
1270,2,6,1,1,3,3,1,1,3,2,2,2,1,2,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1
1273,2,6,1,1,4,1,2,2,3,4,3,4,5,4,3,3,3,2,2,2,3,3,3,2,2,1,1,1,1,3,4,5,4
1275,2,6,1,3,2,2,2,2,1,2,3,4,4,5,5,5,3,3,4,2,4,3,5,2,1,2,4,1,5,3,2,4,1
1279,2,6,2,2,3,1,1,3,1,1,3,2,1,2,2,2,2,4,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3
1284,2,6,1,2,5,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4
1287,2,6,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1288,2,6,1,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
1295,2,6,1,1,5,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1299,2,6,1,1,4,1,2,3,2,1,4,2,3,3,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1300,2,6,1,4,4,4,4,4,4,4,4,4,2,2,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1303,2,6,1,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5
1304,2,6,1,1,2,2,2,2,3,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2
1307,2,6,3,4,5,1,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1310,2,6,1,4,3,3,4,5,3,5,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,3,5,5,4,4,5,3,5
1312,2,6,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1315,2,6,1,2,4,1,1,1,1,1,4,4,1,3,1,5,2,4,4,4,4,4,4,3,2,2,3,2,1,2,1,1,2
1316,2,6,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1325,2,6,1,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1326,2,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2
1327,2,6,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5
1331,2,6,1,4,3,4,4,4,4,5,5,5,3,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,5
1333,2,6,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
1334,2,6,1,4,5,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1338,2,6,2,1,1,3,3,3,3,3,1,1,1,1,1,1,1,2,3,3,2,4,3,4,3,3,2,2,1,2,2,1,2
1341,2,6,1,1,1,3,4,4,4,4,4,4,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1343,2,6,1,3,3,1,4,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1344,2,6,1,1,2,3,4,4,3,2,2,3,2,4,2,4,4,3,4,3,2,4,5,3,3,3,4,2,3,3,2,4,2
1345,2,6,1,1,3,3,3,5,3,2,1,1,1,4,4,3,3,2,3,3,3,3,3,3,2,3,4,3,2,2,3,1,1
1346,2,6,1,3,5,3,3,1,3,2,1,1,1,3,1,1,2,3,3,3,3,3,3,1,3,1,3,3,3,3,1,1,1
1347,2,6,1,2,3,2,4,4,3,4,4,2,3,2,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4
1348,2,6,1,4,2,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,5
1351,2,6,1,4,3,2,3,3,2,3,3,4,2,3,2,4,3,4,4,4,3,5,4,3,4,5,5,3,2,4,2,1,2
1352,2,6,1,1,2,1,2,4,1,1,1,1,3,3,2,3,2,5,5,5,4,5,5,3,5,5,5,3,2,4,1,1,4
1353,2,6,1,4,2,3,2,3,3,2,1,2,2,4,2,5,3,4,4,5,3,5,4,3,3,4,3,2,2,3,3,3,3
1364,2,6,1,3,5,3,3,4,4,3,3,3,3,3,3,3,3,2,2,2,3,3,4,4,4,3,3,4,3,3,3,3,3
1367,2,6,1,3,3,1,1,3,1,3,1,2,2,4,2,3,2,3,3,3,1,4,4,3,1,1,1,2,2,2,1,1,1
1368,2,6,1,3,1,1,2,2,2,2,1,3,5,5,5,5,5,4,5,3,4,4,5,5,4,3,4,4,5,5,4,5,5
1369,2,6,1,2,2,1,3,5,1,1,1,3,1,1,2,1,1,4,4,3,4,5,5,3,5,5,5,3,3,5,5,5,5
1372,2,6,1,1,1,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4
1373,2,6,1,1,3,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1374,2,6,1,1,2,2,2,2,2,2,3,3,2,5,4,3,3,4,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3
1375,2,6,1,3,1,1,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
1377,2,6,1,2,1,1,3,2,2,3,2,1,1,4,3,3,2,3,4,4,4,4,4,3,3,2,3,2,1,3,2,1,3
1379,2,6,1,2,3,1,3,4,1,3,1,4,1,3,3,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4
1380,2,6,1,4,2,1,5,3,1,4,2,3,2,5,4,5,5,3,3,5,5,5,5,5,5,5,5,2,5,3,2,2,5
1381,2,6,1,3,2,2,2,4,3,3,2,2,2,2,2,3,2,3,4,4,4,4,4,4,4,3,2,3,3,3,1,2,2
1382,2,6,1,1,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1385,2,6,2,4,2,3,2,4,3,3,1,3,3,4,3,2,2,4,3,4,3,5,4,4,4,4,4,4,4,3,4,3,3
1386,2,6,1,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,4,2,4,3,3,3,3
1387,2,6,1,1,4,3,2,2,3,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1392,2,6,1,1,2,4,4,4,3,4,3,5,3,4,4,3,4,4,5,3,3,4,4,4,3,4,4,4,4,5,4,4,4
1395,2,6,1,1,2,2,3,4,2,3,3,3,2,4,4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1396,2,6,1,3,1,1,1,1,1,2,2,1,2,2,2,1,1,3,2,3,3,2,2,1,2,2,2,3,3,3,1,1,1
1397,2,6,1,1,3,3,3,4,3,4,2,2,3,4,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1407,2,6,1,2,2,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1408,2,6,1,3,4,1,2,2,2,1,2,2,2,3,1,2,2,2,2,1,2,1,1,1,2,1,1,2,3,3,2,2,3
1409,2,6,1,4,3,2,3,4,5,5,3,4,3,4,3,4,3,4,4,4,4,4,4,5,5,4,5,4,4,4,4,4,4
1412,2,6,1,4,3,1,3,5,3,5,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1413,2,6,1,1,1,4,4,4,4,4,4,2,2,2,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1414,2,6,1,3,4,2,4,4,2,3,3,4,2,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4
1415,2,6,1,1,1,2,4,4,4,4,3,5,3,5,5,5,5,5,5,4,4,4,5,5,5,5,4,5,3,4,5,3,5
1417,2,6,1,1,2,1,1,4,3,1,1,1,1,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1419,2,6,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1420,2,6,1,1,2,1,2,3,3,2,2,4,3,3,2,2,1,3,4,3,3,2,4,2,1,4,4,3,2,2,3,4,3
1422,2,6,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4
1423,2,6,2,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2
1435,2,6,2,2,2,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1436,2,6,2,1,3,1,1,3,2,1,2,3,1,2,2,3,4,2,1,3,2,2,3,2,1,2,2,1,2,3,3,1,2
1446,2,6,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1451,2,6,1,3,3,2,4,4,4,3,4,4,3,2,2,3,3,4,4,4,2,3,3,3,2,1,4,3,2,1,4,2,2
1463,2,6,3,1,1,4,2,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1464,2,6,1,3,1,2,2,5,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,2,1,1,3,4,1,4
1467,2,6,1,1,2,4,4,3,3,3,4,3,4,5,5,4,4,4,4,3,3,3,4,5,5,4,4,4,3,3,4,4,5
1469,2,6,1,4,3,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1475,2,6,2,3,3,4,4,4,4,4,4,4,3,5,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5
1476,2,6,1,1,4,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1
1478,2,6,2,3,3,3,3,5,4,5,5,4,4,2,5,5,5,5,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4
1480,2,6,2,2,3,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1482,2,6,1,3,3,3,3,3,4,3,3,3,4,3,3,5,5,5,4,4,5,4,5,4,3,4,5,4,4,5,5,5,5
1484,2,6,1,2,3,3,3,3,3,3,4,3,3,3,4,3,2,2,3,3,3,4,2,2,2,2,3,2,2,3,3,2,2
1486,2,6,2,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1487,2,6,1,1,3,3,4,3,4,4,5,4,4,4,5,4,4,4,4,5,4,4,4,4,5,4,3,4,4,3,4,3,4
1489,2,6,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2
1494,2,6,1,3,3,4,4,4,4,4,5,4,2,2,2,2,2,2,2,3,2,3,2,2,3,2,3,2,3,3,2,3,2
1496,2,6,1,3,4,4,2,4,3,2,3,4,3,3,2,4,3,3,3,4,2,3,3,4,5,2,3,3,2,4,3,3,5
1498,2,6,1,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1501,2,6,1,3,3,2,3,5,2,4,4,4,4,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,5
1503,2,6,1,4,3,2,4,4,2,4,3,4,2,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,3,5,4,2,5
1504,2,6,1,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1505,2,6,1,3,5,4,4,4,4,4,4,3,3,1,2,1,1,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,3
1507,2,6,1,4,3,2,4,4,4,4,5,3,3,4,4,4,4,5,5,5,5,5,5,5,4,4,5,4,4,5,5,4,5
1509,2,6,1,4,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
1510,2,6,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5
1517,2,6,1,2,2,2,4,4,4,1,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,2,5
1519,2,6,1,3,4,3,3,3,3,3,3,3,3,4,4,3,3,4,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3
1521,2,6,1,2,3,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4
1529,2,6,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,4,2,5
1531,2,6,1,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1532,2,6,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1542,2,6,1,1,2,5,5,5,5,5,5,5,5,2,5,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1543,2,6,1,3,4,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2
1544,2,6,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
1545,2,6,1,3,4,4,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5
1546,2,6,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1547,2,6,1,3,3,4,4,4,4,4,4,4,2,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,4
1548,2,6,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1550,2,6,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1552,2,6,3,4,5,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1554,2,6,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1555,2,6,1,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1559,2,6,1,2,3,2,4,5,2,4,4,4,4,2,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,5
1560,2,6,1,2,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1561,2,6,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3
1567,2,6,1,1,1,2,2,2,2,3,2,4,4,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2
1570,2,6,1,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1571,2,6,1,2,4,5,4,5,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,5,4,4,3,4,3,4,4,4,3
1572,2,6,1,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,4,2,2,4,3,3,4,3,3,3,3,3,3,2,3
1573,2,6,1,3,3,4,4,4,4,4,5,4,4,4,4,3,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4
1574,2,6,1,1,3,4,4,4,5,4,5,4,3,4,4,4,5,5,4,4,5,4,4,4,4,5,4,5,4,3,4,3,4
1577,2,6,3,1,3,4,4,4,5,4,4,4,4,3,3,4,2,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4
1588,2,6,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2
1594,2,6,1,1,3,5,5,3,4,4,5,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1595,2,6,1,2,3,2,4,4,2,3,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
1596,2,6,1,3,3,2,2,4,2,3,5,3,2,3,3,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,3,5
1599,2,6,1,1,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
1603,2,6,1,3,3,4,4,4,4,4,4,3,2,1,1,3,3,4,4,4,4,4,4,4,4,2,4,4,4,4,1,1,3
1611,2,6,1,1,3,1,1,1,1,1,1,1,1,1,1,4,1,5,4,4,1,4,2,5,2,3,4,1,3,4,4,4,4
1613,2,6,1,1,3,4,4,3,4,3,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
1614,2,6,1,3,2,4,4,4,3,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4
1617,2,6,1,1,2,5,5,5,4,5,5,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,3,5
1619,2,6,1,4,3,2,4,3,2,4,2,3,4,3,4,5,4,3,2,3,4,3,2,4,4,3,2,3,3,4,3,2,3
1620,2,6,1,3,3,4,4,4,4,4,4,2,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1621,2,6,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,4,5
1623,2,6,1,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,4,5,5,4,5,5,5,5,4,4,4,4
1625,2,6,1,2,3,4,4,4,4,4,4,4,4,3,3,4,3,4,3,4,5,5,5,4,4,4,3,3,4,3,3,3,3
1627,2,6,1,2,4,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1632,2,6,1,3,2,3,3,4,4,4,5,3,3,2,3,3,4,5,4,4,4,4,4,2,2,3,3,2,2,3,3,4,3
1636,2,11,3,2,3,3,2,4,3,2,4,2,3,2,2,3,1,4,4,5,3,5,4,4,4,4,4,3,2,4,2,3,3
1639,2,11,1,3,3,1,3,2,2,3,1,3,1,5,3,5,2,2,4,4,3,5,5,5,5,5,5,5,3,4,2,1,3
1640,2,11,2,3,3,1,1,1,1,1,2,3,3,4,4,3,3,5,4,3,3,3,4,3,3,2,3,1,1,5,4,4,4
1643,2,11,1,3,3,1,4,4,3,4,4,3,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1644,2,11,1,4,4,1,4,5,4,5,3,2,2,5,5,5,2,4,4,4,5,5,5,5,5,5,5,4,3,4,4,5,5
1646,2,11,1,1,3,1,1,4,2,3,1,1,3,3,2,4,1,4,4,3,2,4,4,4,3,4,4,3,2,2,3,2,3
1647,2,11,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,5,4,5,2,5,5,1,1,1,1,4,4
1648,2,11,1,4,4,1,2,3,3,4,3,2,2,5,4,5,3,4,5,4,4,3,4,1,3,5,5,3,3,5,3,4,4
1654,2,11,1,3,3,2,3,2,2,3,5,3,3,2,3,3,4,3,1,2,3,1,2,2,1,1,1,3,3,1,2,1,1
1658,2,11,1,2,4,1,3,4,1,5,1,4,3,4,2,1,1,5,5,5,3,5,5,5,5,5,5,5,5,5,3,5,5
1659,2,11,1,2,3,1,4,4,3,4,1,4,2,4,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5
1661,2,11,1,2,3,4,5,4,1,5,2,3,3,4,4,3,5,5,5,3,5,5,5,5,5,5,5,5,5,5,1,4,3
1662,2,11,1,2,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,4,2,1,2,3,3,2,2,3,2,4,3
1664,2,11,1,1,4,5,5,5,5,4,2,4,3,3,3,2,2,4,4,4,3,4,4,4,4,5,4,4,4,4,4,4,4
1668,2,11,1,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1669,2,11,1,2,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1673,2,11,1,3,3,5,5,4,5,5,4,4,4,5,5,5,4,3,4,4,4,4,5,4,3,5,5,4,5,4,5,4,4
1676,2,11,1,4,3,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1678,2,11,1,3,3,2,3,3,3,3,3,2,3,3,3,3,3,4,4,4,3,4,4,3,3,3,3,4,3,4,4,3,3
1679,2,11,1,4,4,1,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,4,3,1,1,3,4,4,4,5,3,1,1
1681,2,11,1,4,3,3,3,4,3,2,1,1,2,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1683,2,11,1,3,3,1,2,1,3,3,3,5,4,4,3,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,5,4,5
1684,2,11,1,4,3,3,3,3,3,2,2,2,3,4,3,3,3,4,4,4,4,5,4,4,4,4,4,4,3,4,4,3,4
1686,2,11,1,1,3,4,4,4,4,4,3,2,2,2,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1688,2,11,1,4,3,1,1,4,1,3,3,3,2,3,3,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4
1690,2,11,1,3,2,3,3,3,3,4,3,4,3,4,4,4,3,4,3,4,3,4,4,4,3,3,3,4,4,3,3,4,5
1693,2,11,1,2,5,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,4,4,4,3,2,3,4,2,4
1709,2,11,1,2,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1712,2,11,1,4,3,1,3,4,1,2,2,2,3,4,3,4,3,4,4,4,2,4,4,3,3,3,4,3,3,3,3,3,3
1717,2,11,1,1,5,1,1,2,2,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1722,2,11,1,4,3,5,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,3,3,3,1,3,4,5,4
1733,2,11,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1737,2,11,1,1,3,4,4,4,4,4,3,4,2,3,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4
1740,2,11,1,1,2,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1741,2,11,1,1,4,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
